Question,1,2,3,4,5,6,7,N
Week 1,9073,7936,1877,9163,4591,8122,6926,47688
Week 2,5285,6408,8122,7619,8810,7940,5605,49789
Week 3,7044,8889,116,365,3417,3370,8111,31312
Week 4,5368,5918,9828,9301,3207,5497,8762,47881
Week 5,7719,9038,6923,6134,4141,4636,6819,45410
Week 6,4044,8855,202,8712,7179,3203,6016,38211
Week 7,3060,4991,4098,5962,7822,2829,9972,38734
Week 8,7359,6276,3834,5222,5426,3703,5793,37613
Week 9,4212,4874,8083,7168,3948,2562,13884,44731
Week 10,3854,8571,2563,5419,4451,2716,6014,33588
Week 11,4242,6653,2837,5327,4619,4229,6907,34814
Week 12,3498,7753,8274,5320,4357,5158,2667,37027
Week 13,5562,5643,4458,5372,4446,5156,5081,35718
Total,70320,91805,61215,81084,66414,59121,92557,522516
